"","district_name","chiefdom_name","chronic_work","Food_sec_classification","highest_edu_level","hhweight"
"1","Kenema","Nomo","","Moderately food insecure","College/University",0.1777201
"2","Tonkolili","Kholifa Rowala","","Marginally food secure","No School",1.5076716
"3","Kenema","Dodo","","Moderately food insecure","No School",0.5602864
"4","Koinadugu","Tamiso","","Marginally food secure","No School",0.1697018
"5","Pujehun","Malen","","Marginally food secure","No School",1.0837293
"6","Pujehun","Makpele","","Moderately food insecure","Some Primary",0.8219445
"7","Falaba","Wollay Barawa","","Moderately food insecure","College/University",0.4146298
"8","Kambia","Bramaia","","Marginally food secure","No School",0.51476
"9","Western Area Slum","Slum","","Marginally food secure","Some secondary",1.2575573
"10","Kambia","Muna Thalla","","Marginally food secure","No School",0.3762014
"11","Bo","Bagbwe(Bagbe)","No chronic illness","Moderately food insecure","Some secondary",0.5761842
"12","Kambia","Bramaia","","Marginally food secure","College/University",0.51476
"13","Western Area Slum","Slum","","Food secure","College/University",1.2575573
"14","Kenema","Kenema City","","Severely food insecure","Completed Primary",6.0810676
"15","Falaba","Sulima","","Severely food insecure","No School",0.6566527
"16","Bo","Bo Town","","Moderately food insecure","Vocational/Technical Institute",4.9102714
"17","Kambia","Muna Thalla","","Moderately food insecure","No School",0.3762014
"18","Port Loko","Maforki","","Marginally food secure","Some secondary",1.534993
"19","Koinadugu","Nieni","","Marginally food secure","No School",0.6801502
"20","Bo","Bagbo","","Moderately food insecure","No School",0.8386451
"21","Tonkolili","Kholifa Rowala","","Moderately food insecure","Completed Secondary",1.5076716
"22","Falaba","Morifindugu","","Severely food insecure","No School",0.2313086
"23","Pujehun","Perri","No, working for fewer hours/days","Severely food insecure","No School",0.6914497
"24","Bombali","Makari","","Marginally food secure","Some secondary",1.4298134
"25","Western Area Urban","West II","","Food secure","Completed Secondary",4.4390705
"26","Kailahun","Njaluahun","","Marginally food secure","No School",1.3062578
"27","Moyamba","Upper Banta","","Marginally food secure","Vocational/Technical Institute",0.3548562
"28","Western Area Rural","York Rural","","Marginally food secure","No School",4.5230785
"29","Western Area Urban","West II","","Food secure","Completed Secondary",4.4390705
"30","Falaba","Kebelia","","Moderately food insecure","No School",0.2545047
"31","Tonkolili","Yoni Mabanta","","Moderately food insecure","No School",0.9002567
"32","Pujehun","Sowa","","Moderately food insecure","Completed Primary",0.4252095
"33","Western Area Urban","Central I","","Marginally food secure","No School",1.8276852
"34","Bonthe","Imperri","","Moderately food insecure","No School",0.9957775
"35","Koinadugu","Kalian","","Marginally food secure","Vocational/Technical Institute",0.4959283
"36","Kono","Fiama","","Moderately food insecure","No School",0.4323924
"37","Falaba","Kulor Saradu","","Marginally food secure","No School",0.2207506
"38","Kailahun","Jawie","","Moderately food insecure","No School",1.3944928
"39","Port Loko","Lokomasama","","Moderately food insecure","No School",1.4808823
"40","Kenema","Dodo","No chronic illness","Severely food insecure","No School",0.5602864
"41","Bonthe","Sittia","","Marginally food secure","No School",0.4738193
"42","Koinadugu","Kamukeh","","Marginally food secure","College/University",0.2057309
"43","Kailahun","Penguia","","Moderately food insecure","Completed Secondary",0.5967944
"44","Moyamba","Dasse","","Marginally food secure","No School",0.4965263
"45","Kono","Kamara","","Marginally food secure","No School",0.5097306
"46","Kono","Gbane Kandor","No, working for fewer hours/days","Marginally food secure","No School",0.3112468
"47","Moyamba","Kamajei","","Severely food insecure","No School",0.2839045
"48","Falaba","Dembelia","","Marginally food secure","No School",0.2786251
"49","Western Area Urban","West III","","Marginally food secure","Vocational/Technical Institute",6.173548
"50","Moyamba","Bagruwa","","Severely food insecure","No School",0.8346273
"51","Kailahun","Mandu","","Moderately food insecure","No School",0.8618948
"52","Western Area Slum","Slum","","Marginally food secure","Some Primary",1.2575573
"53","Falaba","Mongo","","Marginally food secure","Vocational/Technical Institute",0.3465667
"54","Kenema","Nomo","","Severely food insecure","No School",0.1777201
"55","Karene","Dibia","","Moderately food insecure","No School",0.4598979
"56","Bombali","Biriwa","","Moderately food insecure","Some Primary",1.1840597
"57","Koinadugu","Gbonkobon Kayaka","","Moderately food insecure","No School",0.1931609
"58","Falaba","Nyedu","","Moderately food insecure","Some Primary",0.1004401
"59","Moyamba","Kagboro","","Moderately food insecure","No School",1.1993893
"60","Karene","Tambakha Simibungie","","Marginally food secure","College/University",0.2921028
"61","Bombali","Makari","","Marginally food secure","Some secondary",1.4298134
"62","Western Area Rural","Waterloo Rural","","Marginally food secure","College/University",7.6080752
"63","Karene","Sanda Loko","","Severely food insecure","No School",1.2619816
"64","Tonkolili","Kholifa Mamuntha/Mayosso","","Moderately food insecure","Completed Primary",0.4632227
"65","Port Loko","Lokomasama","","Moderately food insecure","No School",1.4808823
"66","Bombali","Gbendembu","","Marginally food secure","No School",0.7180535
"67","Bo","Wonde","","Moderately food insecure","Some secondary",0.3490822
"68","Koinadugu","Kalian","","Marginally food secure","No School",0.4959283
"69","Tonkolili","Kunike Folawusu","","Food secure","College/University",0.6151168
"70","Kenema","Nomo","","Moderately food insecure","No School",0.1777201
"71","Falaba","Kulor Saradu","","Marginally food secure","College/University",0.2207506
"72","Falaba","Neya","","Severely food insecure","No School",0.4365837
"73","Pujehun","Makpele","","Marginally food secure","Completed Primary",0.8219445
"74","Port Loko","Kamasondo","","Moderately food insecure","No School",0.9860628
"75","Moyamba","Kori","Yes, the same number of hours /days","Marginally food secure","No School",0.8794012
"76","Koinadugu","Sengbe","","Moderately food insecure","Some Primary",0.5581314
"77","Bo","Bagbo","","Moderately food insecure","No School",0.8386451
"78","Bombali","Kamaranka","","Moderately food insecure","College/University",0.3070851
"79","Falaba","Wollay Barawa","","Moderately food insecure","No School",0.4146298
"80","Bo","Bo Town","","Marginally food secure","Vocational/Technical Institute",4.9102714
"81","Kambia","Muna Thalla","","Moderately food insecure","No School",0.3762014
"82","Western Area Urban","West III","","Marginally food secure","No School",6.173548
"83","Kono","Gbane Kandor","","Food secure","No School",0.3112468
"84","Port Loko","Bureh","","Marginally food secure","College/University",0.4801609
"85","Kono","Mafindor","","Marginally food secure","No School",0.3164851
"86","Bo","Bo Town","","Moderately food insecure","College/University",4.9102714
"87","Port Loko","Kaffu Bullom","","Moderately food insecure","College/University",3.2143547
"88","Bombali","Gbanti-1","","Marginally food secure","No School",1.4493465
"89","Bo","Kakua","","Marginally food secure","Some Primary",1.4390947
"90","Kono","Nimiyama","","Moderately food insecure","Some Primary",0.8542261
"91","Western Area Urban","West II","","Marginally food secure","Some Primary",4.4390705
"92","Western Area Rural","Waterloo Rural","","Food secure","Completed Primary",7.6080752
"93","Karene","Buya","","Moderately food insecure","No School",0.4128132
"94","Bo","Bagbwe(Bagbe)","","Moderately food insecure","No School",0.5761842
"95","Pujehun","Pejeh (Futa peje)","","Moderately food insecure","No School",0.290343
"96","Western Area Rural","Waterloo Rural","","Food secure","No School",7.6080752
"97","Kailahun","Kissi Tongi","","Moderately food insecure","No School",1.1434507
"98","Western Area Urban","East II","Never worked","Marginally food secure","Some secondary",2.7733612
"99","Falaba","Mongo","","Marginally food secure","College/University",0.3465667
"100","Kono","Sandor","","Marginally food secure","No School",2.2790256
"101","Tonkolili","Gbonkolenkeni/Masankong","","Moderately food insecure","No School",0.3955559
"102","Bo","Badjia","No chronic illness","Food secure","No School",0.2586598
"103","Kambia","Magbema","","Moderately food insecure","Some secondary",2.8153019
"104","Falaba","Folosaba","","Severely food insecure","No School",0.2593644
"105","Falaba","Morifindugu","","Severely food insecure","No School",0.2313086
"106","Bonthe","Yawbeko","","Marginally food secure","Some Primary",0.1756389
"107","Falaba","Morifindugu","","Moderately food insecure","No School",0.2313086
"108","Bombali","Biriwa","","Moderately food insecure","No School",1.1840597
"109","Pujehun","Galliness","","Moderately food insecure","Some Primary",0.4706213
"110","Bombali","Gbanti-1","","Moderately food insecure","Completed Secondary",1.4493465
"111","Moyamba","Ribbi","","Severely food insecure","Some Primary",1.0236714
"112","Kailahun","Kissi Tongi","","Marginally food secure","No School",1.1434507
"113","Koinadugu","Kasunko KaKellian","","Moderately food insecure","No School",0.3122807
"114","Kailahun","Malema","","Marginally food secure","Some Primary",0.8009411
"115","Bonthe","Yawbeko","","Marginally food secure","No School",0.1756389
"116","Koinadugu","Wara Wara Bafodia","","Moderately food insecure","No School",0.4132673
"117","Kailahun","Jawie","","Marginally food secure","Some Primary",1.3944928
"118","Bo","Lugbu","","Moderately food insecure","Some Primary",0.9347872
"119","Port Loko","Marampa","Yes, the same number of hours /days","Moderately food insecure","No School",1.6520808
"120","Bonthe","Imperri","","Moderately food insecure","No School",0.9957775
"121","Moyamba","Bumpeh","","Marginally food secure","Completed Secondary",1.2077506
"122","Western Area Slum","Slum","","Marginally food secure","Some Primary",1.2575573
"123","Bo","Badjia","","Marginally food secure","College/University",0.2586598
"124","Western Area Urban","Central I","","Moderately food insecure","Some secondary",1.8276852
"125","Falaba","Mongo","","Food secure","Completed Secondary",0.3465667
"126","Kono","Sandor","","Moderately food insecure","No School",2.2790256
"127","Falaba","Wollay Barawa","","Severely food insecure","College/University",0.4146298
"128","Kono","Soa","","Moderately food insecure","No School",0.9956889
"129","Koinadugu","Diang","","Moderately food insecure","No School",0.7864444
"130","Bo","Badjia","","Moderately food insecure","Completed Primary",0.2586598
"131","Kono","Kamara","","Moderately food insecure","Some secondary",0.5097306
"132","Tonkolili","Yoni Mabanta","","Severely food insecure","No School",0.9002567
"133","Kailahun","Upper Bambara","","Marginally food secure","College/University",0.9285215
"134","Western Area Rural","Mountain Rural","","Food secure","Completed Primary",1.2564135
"135","Moyamba","Fakunya","","Moderately food insecure","Some Primary",0.9662584
"136","Kono","Sandor","","Moderately food insecure","No School",2.2790256
"137","Kono","Sandor","","Moderately food insecure","College/University",2.2790256
"138","Bo","Bagbo","","Moderately food insecure","No School",0.8386451
"139","Kailahun","Yawei","","Moderately food insecure","Some secondary",0.6212634
"140","Tonkolili","Simiria","","Moderately food insecure","No School",0.7139594
"141","Karene","Safroko","","Moderately food insecure","No School",0.2952777
"142","Kambia","Dixon","","Marginally food secure","No School",0.2510313
"143","Karene","Romende","","Moderately food insecure","No School",0.7074619
"144","Koinadugu","Gbonkobon Kayaka","","Moderately food insecure","No School",0.1931609
"145","Western Area Urban","East II","","Marginally food secure","College/University",2.7733612
"146","Port Loko","Bureh","","Moderately food insecure","Completed Primary",0.4801609
"147","Kenema","Kandu Leppiama","","Marginally food secure","Completed Secondary",0.6050925
"148","Kambia","Muna Thalla","","Marginally food secure","No School",0.3762014
"149","Tonkolili","Poli","Yes, the same number of hours /days","Severely food insecure","No School",0.2398532
"150","Tonkolili","Kholifa Mamuntha/Mayosso","","Marginally food secure","No School",0.4632227
"151","Pujehun","Mono Sakrim","","Moderately food insecure","No School",0.2858671
"152","Bo","Boama","","Marginally food secure","College/University",1.4582433
"153","Moyamba","Fakunya","","Moderately food insecure","Some Primary",0.9662584
"154","Kailahun","Yawei","","Moderately food insecure","No School",0.6212634
"155","Kenema","Small Bo","","Moderately food insecure","Completed Primary",0.8906647
"156","Bo","Niawa Lenga","","Moderately food insecure","College/University",0.4015236
"157","Kono","Kamara","","Food secure","No School",0.5097306
"158","Bo","Komboya","","Marginally food secure","Vocational/Technical Institute",0.423107
"159","Koinadugu","Diang","","Moderately food insecure","No School",0.7864444
"160","Kenema","Gaura","","Marginally food secure","College/University",0.6096904
"161","Port Loko","Bureh","","Marginally food secure","No School",0.4801609
"162","Kono","Nimiyama","","Moderately food insecure","No School",0.8542261
"163","Bombali","Ngowahun","","Severely food insecure","No School",0.7104767
"164","Bombali","Safroko Limba","","Moderately food insecure","No School",0.8913851
"165","Koinadugu","Kamukeh","","Moderately food insecure","No School",0.2057309
"166","Falaba","Delemandugu","","Moderately food insecure","No School",0.4536044
"167","Bo","Komboya","","Moderately food insecure","Completed Secondary",0.423107
"168","Pujehun","Perri","","Severely food insecure","Completed Primary",0.6914497
"169","Western Area Urban","West II","","Marginally food secure","Completed Primary",4.4390705
"170","Kailahun","Kissi Teng","","Moderately food insecure","Completed Primary",1.0208497
"171","Port Loko","Kasseh","","Marginally food secure","Some Primary",0.4162949
"172","Koinadugu","Wara Wara Yagala","","Marginally food secure","No School",0.9880005
"173","Bo","Wonde","","Severely food insecure","Some Primary",0.3490822
"174","Karene","Buya","","Marginally food secure","No School",0.4128132
"175","Kambia","Muna Thalla","","Marginally food secure","Vocational/Technical Institute",0.3762014
"176","Moyamba","Bagruwa","","Severely food insecure","No School",0.8346273
"177","Western Area Slum","Slum","","Marginally food secure","Some secondary",1.2575573
"178","Bo","Komboya","","Moderately food insecure","Completed Secondary",0.423107
"179","Pujehun","Panga","","Marginally food secure","No School",1.3987109
"180","Koinadugu","Wara Wara Yagala","","Food secure","College/University",0.9880005
"181","Falaba","Sulima","","Moderately food insecure","No School",0.6566527
"182","Tonkolili","Tane","","Moderately food insecure","No School",1.0216635
"183","Moyamba","Timdale","","Moderately food insecure","No School",0.3483107
"184","Kailahun","Malema","","Moderately food insecure","Completed Secondary",0.8009411
"185","Kambia","Khonimaka","","Marginally food secure","No School",0.3392629
"186","Tonkolili","Mayeppoh","","Moderately food insecure","No School",0.5692711
"187","Kambia","Muna Thalla","","Marginally food secure","No School",0.3762014
"188","Bo","Lugbu","","Marginally food secure","Some secondary",0.9347872
"189","Pujehun","Malen","","Marginally food secure","Completed Secondary",1.0837293
"190","Kambia","Khonimaka","","Moderately food insecure","No School",0.3392629
"191","Kailahun","Yawei","","Marginally food secure","Some secondary",0.6212634
"192","Kenema","Kenema City","","Marginally food secure","Completed Primary",6.0810676
"193","Bonthe","Dema","","Marginally food secure","No School",0.2128079
"194","Falaba","Mongo","","Moderately food insecure","No School",0.3465667
"195","Western Area Urban","East I","","Marginally food secure","Some secondary",1.8580343
"196","Western Area Rural","Mountain Rural","","Marginally food secure","No School",1.2564135
"197","Kailahun","Penguia","","Moderately food insecure","No School",0.5967944
"198","Kenema","Tunkia","","Marginally food secure","No School",0.9051959
"199","Tonkolili","Tane","","Food secure","No School",1.0216635
"200","Falaba","Wollay Barawa","","Severely food insecure","No School",0.4146298
"201","Bo","Tikonko","","Severely food insecure","Completed Primary",1.6318566
"202","Falaba","Dembelia-Sinkunia","","Moderately food insecure","No School",0.5086367
"203","Tonkolili","Sambaya","","Marginally food secure","No School",0.7211742
"204","Kambia","Gbinle","","Moderately food insecure","No School",0.4012426
"205","Port Loko","Marampa","","Marginally food secure","No School",1.6520808
"206","Koinadugu","Tamiso","","Moderately food insecure","No School",0.1697018
"207","Kailahun","Yawei","","Marginally food secure","Some secondary",0.6212634
"208","Koinadugu","Kasunko KaKellian","","Moderately food insecure","No School",0.3122807
"209","Pujehun","Kabonde","No chronic illness","Moderately food insecure","Some secondary",0.1262468
"210","Western Area Urban","West II","","Food secure","No School",4.4390705
"211","Tonkolili","Simiria","","Marginally food secure","No School",0.7139594
"212","Kenema","Dodo","","Food secure","Completed Secondary",0.5602864
"213","Bombali","Ngowahun","","Severely food insecure","No School",0.7104767
"214","Tonkolili","Yoni Mamaila","","Severely food insecure","No School",2.2445647
"215","Koinadugu","Kamukeh","No, working for fewer hours/days","Marginally food secure","No School",0.2057309
"216","Kono","Mafindor","","Moderately food insecure","No School",0.3164851
"217","Bombali","Ngowahun","","Severely food insecure","Completed Secondary",0.7104767
"218","Kailahun","Kissi Kama","","Moderately food insecure","No School",0.5201012
"219","Karene","Sanda Magbolontor","","Marginally food secure","No School",0.5278306
"220","Falaba","Morifindugu","","Moderately food insecure","No School",0.2313086
"221","Bo","Kakua","","Marginally food secure","No School",1.4390947
"222","Bo","Valunia","","Severely food insecure","No School",1.0621627
"223","Kono","Koidu City","","Food secure","Vocational/Technical Institute",4.0313155
"224","Port Loko","Maforki","","Marginally food secure","No School",1.534993
"225","Kambia","Gbinle","","Moderately food insecure","No School",0.4012426
"226","Karene","Sella Limba","","Moderately food insecure","No School",1.4316664
"227","Port Loko","Bakeh Loko","","Marginally food secure","No School",1.7416955
"228","Kono","Gbane Kandor","No, working for fewer hours/days","Marginally food secure","No School",0.3112468
"229","Kono","Nimikoro","","Food secure","Some secondary",1.6391351
"230","Karene","Tambakha Simibungie","","Moderately food insecure","No School",0.2921028
"231","Western Area Rural","Koya Rural","","Marginally food secure","Completed Primary",2.3349477
"232","Kono","Toli","","Moderately food insecure","No School",0.1024239
"233","Bombali","Makari","","Moderately food insecure","No School",1.4298134
"234","Kenema","Langrama","","Moderately food insecure","No School",0.127288
"235","Koinadugu","Diang","","Moderately food insecure","No School",0.7864444
"236","Karene","Safroko","","Moderately food insecure","Some Primary",0.2952777
"237","Bo","Komboya","","Marginally food secure","Completed Secondary",0.423107
"238","Falaba","Morifindugu","","Moderately food insecure","College/University",0.2313086
"239","Moyamba","Ribbi","","Severely food insecure","Some Primary",1.0236714
"240","Kenema","Malegohun","","Moderately food insecure","No School",0.5618608
"241","Kenema","Nongowa","","Food secure","No School",1.4913091
"242","Kailahun","Dea","","Moderately food insecure","College/University",0.3985007
"243","Bonthe","Nongoba Bullom","","Moderately food insecure","Some Primary",0.571308
"244","Bombali","Paki Masabong","","Moderately food insecure","No School",0.7699547
"245","Bo","Tikonko","","Food secure","No School",1.6318566
"246","Port Loko","Masimera","","Marginally food secure","Some Primary",1.427643
"247","Kenema","Nongowa","","Marginally food secure","Vocational/Technical Institute",1.4913091
"248","Port Loko","Kamasondo","","Moderately food insecure","Vocational/Technical Institute",0.9860628
"249","Moyamba","Kowa","","Moderately food insecure","No School",0.3642655
"250","Kambia","Tonko Limba","","Food secure","No School",1.3581587
"251","Falaba","Delemandugu","","Moderately food insecure","No School",0.4536044
"252","Pujehun","Perri","No, working for fewer hours/days","Severely food insecure","Some secondary",0.6914497
"253","Kambia","Dixon","","Marginally food secure","No School",0.2510313
"254","Bonthe","Yawbeko","","Severely food insecure","Vocational/Technical Institute",0.1756389
"255","Western Area Urban","East II","","Moderately food insecure","Completed Primary",2.7733612
"256","Kenema","Niawa","","Marginally food secure","No School",0.2315632
"257","Western Area Urban","Central II","","Moderately food insecure","Some secondary",0.7089255
"258","Tonkolili","Tane","Yes, the same number of hours /days","Moderately food insecure","No School",1.0216635
"259","Bo","Bagbwe(Bagbe)","No chronic illness","Marginally food secure","Some secondary",0.5761842
"260","Bombali","Safroko Limba","","Moderately food insecure","Completed Secondary",0.8913851
"261","Kono","Lei","","Marginally food secure","Some secondary",0.5909324
"262","Koinadugu","Tamiso","","Moderately food insecure","No School",0.1697018
"263","Western Area Urban","West III","","Marginally food secure","Some Primary",6.173548
"264","Bombali","Ngowahun","","Severely food insecure","Completed Secondary",0.7104767
"265","Kailahun","Jahn","","Moderately food insecure","No School",0.1944345
"266","Moyamba","Fakunya","","Severely food insecure","No School",0.9662584
"267","Kenema","Gorama Mende","","Moderately food insecure","Some secondary",1.2001405
"268","Kailahun","Kpeje Bongre","","Severely food insecure","Some Primary",0.6549239
"269","Kambia","Bramaia","","Moderately food insecure","No School",0.51476
"270","Kono","Nimiyama","","Marginally food secure","Vocational/Technical Institute",0.8542261
"271","Kono","Nimikoro","","Moderately food insecure","College/University",1.6391351
"272","Western Area Urban","East III","No, working for fewer hours/days","Marginally food secure","No School",13.175466
"273","Tonkolili","Simiria","","Moderately food insecure","No School",0.7139594
"274","Bonthe","Nongoba Bullom","","Marginally food secure","Some Primary",0.571308
"275","Koinadugu","Wara Wara Bafodia","","Moderately food insecure","Some secondary",0.4132673
"276","Falaba","Kamadu Yiraia","","Food secure","No School",0.2914018
"277","Tonkolili","Yoni Mabanta","","Marginally food secure","No School",0.9002567
"278","Port Loko","Bureh","","Marginally food secure","College/University",0.4801609
"279","Pujehun","Malen","","Severely food insecure","Some secondary",1.0837293
"280","Kenema","Dama","","Severely food insecure","No School",0.9802876
"281","Kenema","Koya-1","","Moderately food insecure","Some Primary",0.4694293
"282","Western Area Rural","York Rural","","Marginally food secure","Completed Secondary",4.5230785
"283","Kambia","Mambolo","","Marginally food secure","No School",1.0250424
"284","Kono","Mafindor","","Marginally food secure","No School",0.3164851
"285","Western Area Slum","Slum","","Moderately food insecure","No School",1.2575573
"286","Pujehun","Malen","","Moderately food insecure","No School",1.0837293
"287","Moyamba","Kagboro","","Moderately food insecure","No School",1.1993893
"288","Port Loko","Masimera","","Marginally food secure","No School",1.427643
"289","Kenema","Gorama Mende","","Moderately food insecure","No School",1.2001405
"290","Kenema","Lower Bambara","","Moderately food insecure","Completed Primary",2.3582384
"291","Karene","Buya","","Marginally food secure","No School",0.4128132
"292","Kenema","Wandor","She/He is completely unable to work","Marginally food secure","Some Primary",0.557397
"293","Western Area Urban","West I","","Food secure","No School",1.6877405
"294","Moyamba","Bumpeh","","Marginally food secure","Completed Primary",1.2077506
"295","Bombali","Gbanti-1","","Moderately food insecure","No School",1.4493465
"296","Bo","Gbo","","Food secure","No School",0.1992564
"297","Tonkolili","Kalanthuba","","Marginally food secure","No School",0.2903288
"298","Kenema","Gorama Mende","","Moderately food insecure","No School",1.2001405
"299","Port Loko","Kaffu Bullom","","Moderately food insecure","Some Primary",3.2143547
"300","Bo","Jaiama","","Marginally food secure","Some Primary",0.4800562
"301","Bo","Boama","No chronic illness","Severely food insecure","No School",1.4582433
"302","Koinadugu","Sengbe","","Food secure","No School",0.5581314
"303","Falaba","Neya","","Moderately food insecure","No School",0.4365837
"304","Falaba","Morifindugu","","Moderately food insecure","College/University",0.2313086
"305","Kono","Sandor","","Marginally food secure","No School",2.2790256
"306","Koinadugu","Kalian","","Moderately food insecure","No School",0.4959283
"307","Bo","Wonde","","Moderately food insecure","Some secondary",0.3490822
"308","Kono","Koidu City","","Moderately food insecure","College/University",4.0313155
"309","Bonthe","Sogbeni","","Moderately food insecure","No School",0.2551938
"310","Karene","Dibia","","Moderately food insecure","No School",0.4598979
"311","Port Loko","Masimera","","Moderately food insecure","No School",1.427643
"312","Tonkolili","Sambaya","","Severely food insecure","No School",0.7211742
"313","Port Loko","Kasseh","","Moderately food insecure","No School",0.4162949
"314","Port Loko","Kasseh","","Moderately food insecure","Vocational/Technical Institute",0.4162949
"315","Kono","Lei","","Marginally food secure","No School",0.5909324
"316","Pujehun","Barri","","Moderately food insecure","No School",0.9472675
"317","Bombali","Bombali Siari","","Marginally food secure","No School",0.2292491
"318","Tonkolili","Kalanthuba","","Severely food insecure","No School",0.2903288
"319","Koinadugu","Wara Wara Bafodia","","Moderately food insecure","No School",0.4132673
"320","Kailahun","Dea","She/He is completely unable to work","Moderately food insecure","No School",0.3985007
"321","Bonthe","Kpanda Kemo","","Moderately food insecure","No School",0.2608277
"322","Bo","Valunia","","Severely food insecure","No School",1.0621627
"323","Western Area Urban","Central I","","Food secure","Completed Secondary",1.8276852
"324","Port Loko","Marampa","","Marginally food secure","No School",1.6520808
"325","Kenema","Wandor","","Marginally food secure","No School",0.557397
"326","Kailahun","Luawa","","Moderately food insecure","No School",2.6739158
"327","Koinadugu","Diang","","Marginally food secure","No School",0.7864444
"328","Bonthe","Sogbeni","","Severely food insecure","No School",0.2551938
"329","Bonthe","Sogbeni","","Moderately food insecure","No School",0.2551938
"330","Bo","Selenga","Yes, the same number of hours /days","Moderately food insecure","No School",0.178588
"331","Karene","Mafonda Makerembay","","Moderately food insecure","No School",0.1251912
"332","Western Area Urban","East I","","Marginally food secure","Completed Primary",1.8580343
