"","district_name","chiefdom_name","chronic_work","Food_sec_classification","highest_edu_level","hhweight"
"333","Kono","Tankoro","","Severely food insecure","Some secondary",0.2426621
"334","Tonkolili","Kunike Sanda","","Marginally food secure","Some Primary",1.3386532
"335","Kambia","Khonimaka","","Moderately food insecure","No School",0.3392629
"336","Falaba","Dembelia","","Marginally food secure","Some secondary",0.2786251
"337","Kenema","Nomo","","Severely food insecure","No School",0.1777201
"338","Kenema","Niawa","","Marginally food secure","No School",0.2315632
"339","Bo","Boama","","Marginally food secure","Some Primary",1.4582433
"340","Bonthe","Kpanda Kemo","","Marginally food secure","Some secondary",0.2608277
"341","Bo","Komboya","","Moderately food insecure","Completed Secondary",0.423107
"342","Port Loko","Kaffu Bullom","","Severely food insecure","Vocational/Technical Institute",3.2143547
"343","Kono","Tankoro","","Moderately food insecure","No School",0.2426621
"344","Kenema","Kenema City","","Severely food insecure","Completed Primary",6.0810676
"345","Falaba","Mongo","","Moderately food insecure","No School",0.3465667
"346","Kailahun","Kissi Tongi","","Marginally food secure","No School",1.1434507
"347","Bo","Bongor","","Moderately food insecure","Completed Primary",0.4196253
"348","Bombali","Makari","","Moderately food insecure","No School",1.4298134
"349","Bonthe","Nongoba Bullom","","Severely food insecure","No School",0.571308
"350","Kenema","Small Bo","","Moderately food insecure","No School",0.8906647
"351","Falaba","Folosaba","","Food secure","College/University",0.2593644
"352","Bo","Wonde","","Moderately food insecure","Some secondary",0.3490822
"353","Kono","Fiama","","Moderately food insecure","No School",0.4323924
"354","Moyamba","Bagruwa","","Severely food insecure","No School",0.8346273
"355","Karene","Dibia","","Moderately food insecure","No School",0.4598979
"356","Port Loko","Kaffu Bullom","","Moderately food insecure","No School",3.2143547
"357","Kailahun","Kissi Tongi","","Moderately food insecure","No School",1.1434507
"358","Bombali","Bombali Sebora","","Moderately food insecure","No School",1.0406648
"359","Kambia","Masungbala","","Marginally food secure","No School",0.4703749
"360","Kono","Gbane Kandor","No, working for fewer hours/days","Moderately food insecure","No School",0.3112468
"361","Moyamba","Bagruwa","","Moderately food insecure","College/University",0.8346273
"362","Kailahun","Dea","","Moderately food insecure","Some secondary",0.3985007
"363","Kailahun","Upper Bambara","","Marginally food secure","Some secondary",0.9285215
"364","Moyamba","Kagboro","","Marginally food secure","No School",1.1993893
"365","Kenema","Langrama","","Severely food insecure","No School",0.127288
"366","Falaba","Neya","","Severely food insecure","No School",0.4365837
"367","Kailahun","Kpeje Bongre","","Marginally food secure","No School",0.6549239
"368","Tonkolili","Yoni Mamaila","","Moderately food insecure","Completed Secondary",2.2445647
"369","Tonkolili","Mayeppoh","","Moderately food insecure","No School",0.5692711
"370","Port Loko","Marampa","Yes, the same number of hours /days","Moderately food insecure","College/University",1.6520808
"371","Kambia","Masungbala","","Marginally food secure","No School",0.4703749
"372","Moyamba","Kori","","Marginally food secure","Completed Secondary",0.8794012
"373","Falaba","Dembelia-Sinkunia","","Moderately food insecure","No School",0.5086367
"374","Kambia","Gbinle","","Moderately food insecure","Some Primary",0.4012426
"375","Port Loko","Thainkatopa","","Moderately food insecure","Completed Primary",0.2597262
"376","Moyamba","Bumpeh","","Moderately food insecure","Completed Secondary",1.2077506
"377","Western Area Slum","Slum","","Food secure","Completed Secondary",1.2575573
"378","Kambia","Muna Thalla","","Marginally food secure","No School",0.3762014
"379","Bonthe","Dema","","Moderately food insecure","Completed Primary",0.2128079
"380","Bo","Badjia","She/He is completely unable to work","Marginally food secure","No School",0.2586598
"381","Karene","Sanda Magbolontor","","Food secure","No School",0.5278306
"382","Falaba","Kamadu Yiraia","","Severely food insecure","No School",0.2914018
"383","Falaba","Neya","","Moderately food insecure","Completed Primary",0.4365837
"384","Bo","Bagbo","","Moderately food insecure","No School",0.8386451
"385","Kailahun","Mandu","Yes, the same number of hours /days","Marginally food secure","College/University",0.8618948
"386","Bo","Wonde","","Marginally food secure","Completed Secondary",0.3490822
"387","Kailahun","Yawei","","Marginally food secure","Some secondary",0.6212634
"388","Tonkolili","Kalanthuba","","Marginally food secure","No School",0.2903288
"389","Kambia","Gbinle","","Marginally food secure","No School",0.4012426
"390","Western Area Rural","Koya Rural","","Moderately food insecure","Completed Primary",2.3349477
"391","Falaba","Kamadu Yiraia","","Food secure","No School",0.2914018
"392","Falaba","Dembelia-Sinkunia","","Food secure","No School",0.5086367
"393","Kono","Nimiyama","","Moderately food insecure","No School",0.8542261
"394","Kenema","Koya-1","","Moderately food insecure","Completed Primary",0.4694293
"395","Tonkolili","Sambaya","","Moderately food insecure","No School",0.7211742
"396","Bombali","Mara","","Marginally food secure","Completed Primary",0.4465518
"397","Western Area Urban","West I","","Marginally food secure","Some secondary",1.6877405
"398","Port Loko","Maconteh","","Moderately food insecure","No School",0.2580322
"399","Koinadugu","Diang","","Marginally food secure","No School",0.7864444
"400","Bo","Valunia","","Moderately food insecure","No School",1.0621627
"401","Tonkolili","Yoni Mabanta","Yes, the same number of hours /days","Moderately food insecure","No School",0.9002567
"402","Pujehun","Yakemu Kpukumu","","Moderately food insecure","No School",0.2721455
"403","Port Loko","Masimera","","Marginally food secure","No School",1.427643
"404","Bo","Wonde","","Severely food insecure","No School",0.3490822
"405","Tonkolili","Yele","","Marginally food secure","No School",0.6876807
"406","Kenema","Gorama Mende","She/He is completely unable to work","Marginally food secure","No School",1.2001405
"407","Bo","Gbo","","Severely food insecure","Completed Primary",0.1992564
"408","Moyamba","Lower Banta","","Marginally food secure","Some secondary",1.318918
"409","Kenema","Tunkia","","Marginally food secure","No School",0.9051959
"410","Koinadugu","Kalian","","Marginally food secure","No School",0.4959283
"411","Kailahun","Malema","","Marginally food secure","No School",0.8009411
"412","Bombali","Gbendembu","","Moderately food insecure","Completed Secondary",0.7180535
"413","Karene","Safroko","She/He is completely unable to work","Moderately food insecure","No School",0.2952777
"414","Pujehun","Panga","","Moderately food insecure","No School",1.3987109
"415","Kono","Nimikoro","","Moderately food insecure","Some secondary",1.6391351
"416","Pujehun","Kabonde","","Marginally food secure","Some Primary",0.1262468
"417","Kenema","Kenema City","","Marginally food secure","Some secondary",6.0810676
"418","Bo","Kakua","","Food secure","College/University",1.4390947
"419","Falaba","Folosaba","","Moderately food insecure","No School",0.2593644
"420","Kono","Sandor","","Moderately food insecure","No School",2.2790256
"421","Bonthe","Dema","","Moderately food insecure","No School",0.2128079
"422","Moyamba","Lower Banta","","Moderately food insecure","Some Primary",1.318918
"423","Tonkolili","Kholifa Rowala","","Moderately food insecure","College/University",1.5076716
"424","Pujehun","Pejeh (Futa peje)","","Marginally food secure","No School",0.290343
"425","Falaba","Wollay Barawa","","Severely food insecure","No School",0.4146298
"426","Koinadugu","Kamukeh","","Marginally food secure","No School",0.2057309
"427","Bonthe","Bendu-Cha","","Moderately food insecure","No School",0.1881044
"428","Moyamba","Kowa","","Marginally food secure","College/University",0.3642655
"429","Port Loko","Makama","","Marginally food secure","No School",0.2828188
"430","Bonthe","Bonthe Urban","","Moderately food insecure","Vocational/Technical Institute",0.1954212
"431","Kambia","Gbinle","","Moderately food insecure","No School",0.4012426
"432","Bo","Badjia","","Severely food insecure","No School",0.2586598
"433","Koinadugu","Kamukeh","","Moderately food insecure","No School",0.2057309
"434","Kenema","Koya-1","","Severely food insecure","No School",0.4694293
"435","Kailahun","Kpeje Bongre","","Moderately food insecure","No School",0.6549239
"436","Bo","Badjia","No chronic illness","Severely food insecure","No School",0.2586598
"437","Moyamba","Kowa","","Moderately food insecure","No School",0.3642655
"438","Moyamba","Upper Banta","","Marginally food secure","Some secondary",0.3548562
"439","Pujehun","Panga","","Moderately food insecure","No School",1.3987109
"440","Bo","Selenga","Yes, the same number of hours /days","Marginally food secure","No School",0.178588
"441","Kailahun","Upper Bambara","","Marginally food secure","No School",0.9285215
"442","Bombali","Paki Masabong","","Moderately food insecure","No School",0.7699547
"443","Kailahun","Luawa","","Marginally food secure","Some secondary",2.6739158
"444","Bo","Bo Town","","Food secure","Completed Secondary",4.9102714
"445","Pujehun","Barri","No chronic illness","Moderately food insecure","No School",0.9472675
"446","Moyamba","Kagboro","No chronic illness","Marginally food secure","College/University",1.1993893
"447","Koinadugu","Kalian","","Moderately food insecure","No School",0.4959283
"448","Bombali","Ngowahun","","Marginally food secure","No School",0.7104767
"449","Kailahun","Kissi Kama","","Moderately food insecure","No School",0.5201012
"450","Pujehun","Panga","","Food secure","No School",1.3987109
"451","Bombali","Kamaranka","","Moderately food insecure","No School",0.3070851
"452","Kailahun","Jahn","","Marginally food secure","No School",0.1944345
"453","Western Area Urban","West III","","Food secure","College/University",6.173548
"454","Moyamba","Bumpeh","","Moderately food insecure","No School",1.2077506
"455","Falaba","Kamadu Yiraia","","Food secure","No School",0.2914018
"456","Bo","Bagbwe(Bagbe)","","Marginally food secure","No School",0.5761842
"457","Karene","Sella Limba","","Moderately food insecure","Completed Secondary",1.4316664
"458","Kailahun","Kissi Kama","","Moderately food insecure","Some secondary",0.5201012
"459","Port Loko","Marampa","","Marginally food secure","No School",1.6520808
"460","Kambia","Tonko Limba","","Moderately food insecure","No School",1.3581587
"461","Port Loko","Lokomasama","","Moderately food insecure","No School",1.4808823
"462","Kono","Gorama Kono","","Marginally food secure","Some secondary",0.3917451
"463","Tonkolili","Malal","","Severely food insecure","Some secondary",0.3583304
"464","Tonkolili","Poli","","Moderately food insecure","No School",0.2398532
"465","Kailahun","Kissi Kama","","Moderately food insecure","Completed Primary",0.5201012
"466","Bonthe","Bendu-Cha","","Moderately food insecure","Some Primary",0.1881044
"467","Kailahun","Kissi Tongi","","Marginally food secure","Some secondary",1.1434507
"468","Moyamba","Kagboro","","Moderately food insecure","Some secondary",1.1993893
"469","Kailahun","Jawie","","Moderately food insecure","No School",1.3944928
"470","Kenema","Lower Bambara","","Moderately food insecure","No School",2.3582384
"471","Bombali","Bombali Siari","","Food secure","Some Primary",0.2292491
"472","Moyamba","Upper Banta","","Moderately food insecure","Some secondary",0.3548562
"473","Karene","Sanda Magbolontor","","Moderately food insecure","No School",0.5278306
"474","Kambia","Magbema","","Marginally food secure","No School",2.8153019
"475","Kenema","Dama","","Severely food insecure","Some secondary",0.9802876
"476","Falaba","Kebelia","","Moderately food insecure","No School",0.2545047
"477","Pujehun","Barri","","Food secure","No School",0.9472675
"478","Bombali","Ngowahun","","Severely food insecure","No School",0.7104767
"479","Falaba","Morifindugu","","Severely food insecure","College/University",0.2313086
"480","Tonkolili","Malal","","Moderately food insecure","Some Primary",0.3583304
"481","Falaba","Mongo","","Moderately food insecure","Vocational/Technical Institute",0.3465667
"482","Tonkolili","Kunike Sanda","","Marginally food secure","No School",1.3386532
"483","Falaba","Sulima","","Marginally food secure","No School",0.6566527
"484","Kailahun","Kissi Kama","","Moderately food insecure","No School",0.5201012
"485","Pujehun","Sowa","","Moderately food insecure","Completed Secondary",0.4252095
"486","Kambia","Gbinle","","Moderately food insecure","No School",0.4012426
"487","Bombali","Kamaranka","No, working for fewer hours/days","Moderately food insecure","No School",0.3070851
"488","Tonkolili","Gbonkolenkeni/Masankong","","Moderately food insecure","Vocational/Technical Institute",0.3955559
"489","Western Area Urban","East II","","Moderately food insecure","No School",2.7733612
"490","Moyamba","Bagruwa","","Moderately food insecure","Some secondary",0.8346273
"491","Moyamba","Fakunya","","Marginally food secure","No School",0.9662584
"492","Tonkolili","Malal","No, working for fewer hours/days","Marginally food secure","No School",0.3583304
"493","Kenema","Kandu Leppiama","No, working for fewer hours/days","Severely food insecure","Some Primary",0.6050925
"494","Karene","Tambakha Yobangie","","Marginally food secure","No School",0.5569147
"495","Pujehun","Panga krim","","Food secure","No School",0.2235191
"496","Pujehun","Soro Gbema","","Marginally food secure","Completed Primary",1.1294005
"497","Bonthe","Kwamebai Krim","","Severely food insecure","Some Primary",0.2944341
"498","Moyamba","Ribbi","","Severely food insecure","Completed Primary",1.0236714
"499","Pujehun","Makpele","","Moderately food insecure","No School",0.8219445
"500","Karene","Sanda Tendaran","","Marginally food secure","No School",0.9145132
"501","Pujehun","Soro Gbema","","Marginally food secure","Some Primary",1.1294005
"502","Western Area Urban","Central II","","Marginally food secure","Completed Secondary",0.7089255
"503","Pujehun","Barri","","Moderately food insecure","No School",0.9472675
"504","Pujehun","Galliness","","Moderately food insecure","No School",0.4706213
"505","Tonkolili","Gbonkolenkeni/Masankong","","Moderately food insecure","College/University",0.3955559
"506","Pujehun","Malen","","Moderately food insecure","College/University",1.0837293
"507","Port Loko","Bureh","","Marginally food secure","Completed Secondary",0.4801609
"508","Falaba","Kamadu Yiraia","","Marginally food secure","No School",0.2914018
"509","Kenema","Small Bo","","Marginally food secure","Some secondary",0.8906647
"510","Bonthe","Bum","","Moderately food insecure","No School",0.7500878
"511","Bo","Tikonko","","Severely food insecure","No School",1.6318566
"512","Tonkolili","Kholifa Mamuntha/Mayosso","","Moderately food insecure","Completed Secondary",0.4632227
"513","Falaba","Kamadu Yiraia","","Marginally food secure","No School",0.2914018
"514","Bo","Jaiama","","Moderately food insecure","No School",0.4800562
"515","Pujehun","Malen","","Marginally food secure","No School",1.0837293
"516","Port Loko","Maforki","","Marginally food secure","No School",1.534993
"517","Pujehun","Barri","","Moderately food insecure","Completed Primary",0.9472675
"518","Bonthe","Nongoba Bullom","","Moderately food insecure","No School",0.571308
"519","Pujehun","Makpele","","Food secure","No School",0.8219445
"520","Kailahun","Kissi Tongi","","Moderately food insecure","Completed Secondary",1.1434507
"521","Tonkolili","Poli","","Moderately food insecure","Some secondary",0.2398532
"522","Kenema","Gaura","","Moderately food insecure","No School",0.6096904
"523","Bo","Jaiama","","Severely food insecure","Some Primary",0.4800562
"524","Bombali","Makeni City","","Marginally food secure","Some Primary",4.2129654
"525","Moyamba","Bumpeh","","Moderately food insecure","No School",1.2077506
"526","Moyamba","Kongbora","","Marginally food secure","Completed Secondary",0.3545449
"527","Pujehun","Mono Sakrim","","Marginally food secure","College/University",0.2858671
"528","Kono","Gbense","","Marginally food secure","No School",0.4660951
"529","Moyamba","Kongbora","","Marginally food secure","No School",0.3545449
"530","Koinadugu","Nieni","","Marginally food secure","No School",0.6801502
"531","Western Area Rural","Waterloo Rural","","Food secure","College/University",7.6080752
"532","Bonthe","Kwamebai Krim","","Severely food insecure","No School",0.2944341
"533","Moyamba","Fakunya","","Marginally food secure","No School",0.9662584
"534","Kailahun","Kissi Tongi","","Moderately food insecure","No School",1.1434507
"535","Moyamba","Upper Banta","","Marginally food secure","Completed Primary",0.3548562
"536","Falaba","Morifindugu","","Moderately food insecure","No School",0.2313086
"537","Bombali","Safroko Limba","","Moderately food insecure","No School",0.8913851
"538","Kailahun","Yawei","","Moderately food insecure","Some secondary",0.6212634
"539","Kono","Gbense","","Moderately food insecure","No School",0.4660951
"540","Western Area Rural","York Rural","","Marginally food secure","Completed Secondary",4.5230785
"541","Bonthe","Imperri","","Marginally food secure","Completed Primary",0.9957775
"542","Karene","Tambakha Simibungie","","Marginally food secure","College/University",0.2921028
"543","Kenema","Kenema City","","Marginally food secure","Some Primary",6.0810676
"544","Kenema","Small Bo","","Moderately food insecure","No School",0.8906647
"545","Karene","Dibia","","Moderately food insecure","College/University",0.4598979
"546","Kambia","Muna Thalla","","Moderately food insecure","Some Primary",0.3762014
"547","Western Area Slum","Slum","","Marginally food secure","No School",1.2575573
"548","Bonthe","Dema","","Severely food insecure","No School",0.2128079
"549","Kono","Lei","","Moderately food insecure","No School",0.5909324
"550","Kailahun","Njaluahun","","Moderately food insecure","Some Primary",1.3062578
"551","Koinadugu","Nieni","","Moderately food insecure","No School",0.6801502
"552","Bonthe","Bonthe Urban","","Marginally food secure","No School",0.1954212
"553","Bo","Bongor","","Moderately food insecure","Some Primary",0.4196253
"554","Western Area Slum","Slum","","Moderately food insecure","No School",1.2575573
"555","Bo","Tikonko","","Moderately food insecure","No School",1.6318566
"556","Pujehun","Malen","","Moderately food insecure","Some secondary",1.0837293
"557","Bo","Kakua","","Marginally food secure","Some Primary",1.4390947
"558","Koinadugu","Kalian","","Food secure","Some secondary",0.4959283
"559","Bombali","Bombali Sebora","","Moderately food insecure","College/University",1.0406648
"560","Kono","Nimikoro","","Food secure","Some secondary",1.6391351
"561","Koinadugu","Wara Wara Yagala","","Marginally food secure","Completed Secondary",0.9880005
"562","Kailahun","Jawie","","Marginally food secure","No School",1.3944928
"563","Kambia","Mambolo","","Moderately food insecure","No School",1.0250424
"564","Kono","Nimiyama","","Marginally food secure","Some Primary",0.8542261
"565","Pujehun","Yakemu Kpukumu","","Moderately food insecure","College/University",0.2721455
"566","Western Area Urban","West III","","Marginally food secure","Completed Secondary",6.173548
"567","Bonthe","Bendu-Cha","Yes, the same number of hours /days","Moderately food insecure","No School",0.1881044
"568","Karene","Sanda Loko","","Moderately food insecure","Some Primary",1.2619816
"569","Bo","Bagbwe(Bagbe)","","Marginally food secure","No School",0.5761842
"570","Port Loko","Bakeh Loko","","Marginally food secure","No School",1.7416955
"571","Bo","Selenga","Yes, the same number of hours /days","Moderately food insecure","Some Primary",0.178588
"572","Moyamba","Ribbi","","Moderately food insecure","No School",1.0236714
"573","Western Area Slum","Slum","","Marginally food secure","No School",1.2575573
"574","Kambia","Samu","","Food secure","No School",1.544231
"575","Tonkolili","Tane","","Marginally food secure","No School",1.0216635
"576","Bo","Badjia","No chronic illness","Severely food insecure","No School",0.2586598
"577","Falaba","Morifindugu","","Moderately food insecure","No School",0.2313086
"578","Karene","Buya","","Moderately food insecure","No School",0.4128132
"579","Karene","Tambakha Simibungie","","Moderately food insecure","No School",0.2921028
"580","Falaba","Neya","","Marginally food secure","No School",0.4365837
"581","Bo","Bagbwe(Bagbe)","No chronic illness","Marginally food secure","Completed Secondary",0.5761842
"582","Bonthe","Jong","","Severely food insecure","Some secondary",1.0066476
"583","Kono","Sandor","","Moderately food insecure","No School",2.2790256
"584","Kailahun","Kissi Tongi","","Marginally food secure","No School",1.1434507
"585","Pujehun","Galliness","","Marginally food secure","No School",0.4706213
"586","Koinadugu","Sengbe","","Moderately food insecure","Vocational/Technical Institute",0.5581314
"587","Karene","Sanda Magbolontor","","Marginally food secure","No School",0.5278306
"588","Karene","Libeisaygahun/Gbombahun","","Marginally food secure","No School",0.3396967
"589","Koinadugu","Kasunko KaKellian","","Moderately food insecure","No School",0.3122807
"590","Pujehun","Panga krim","","Moderately food insecure","College/University",0.2235191
"591","Koinadugu","Sengbe","","Moderately food insecure","No School",0.5581314
"592","Kenema","Koya-1","","Food secure","College/University",0.4694293
"593","Tonkolili","Simiria","","Severely food insecure","No School",0.7139594
"594","Pujehun","Barri","","Severely food insecure","No School",0.9472675
"595","Tonkolili","Simiria","","Marginally food secure","No School",0.7139594
"596","Kambia","Muna Thalla","","Moderately food insecure","No School",0.3762014
"597","Kono","Gorama Kono","","Marginally food secure","Completed Secondary",0.3917451
"598","Falaba","Kulor Saradu","","Moderately food insecure","Completed Secondary",0.2207506
"599","Kenema","Niawa","","Marginally food secure","Completed Secondary",0.2315632
"600","Pujehun","Soro Gbema","","Severely food insecure","No School",1.1294005
"601","Kailahun","Mandu","","Moderately food insecure","No School",0.8618948
"602","Koinadugu","Kasunko KaKellian","","Moderately food insecure","No School",0.3122807
"603","Tonkolili","Yoni Mamaila","","Moderately food insecure","Some secondary",2.2445647
"604","Karene","Gbanti-2","","Severely food insecure","No School",1.4493465
"605","Kambia","Masungbala","","Marginally food secure","No School",0.4703749
"606","Karene","Libeisaygahun/Gbombahun","","Severely food insecure","Some secondary",0.3396967
"607","Kenema","Gorama Mende","","Moderately food insecure","No School",1.2001405
"608","Koinadugu","Nieni","","Moderately food insecure","No School",0.6801502
"609","Western Area Slum","Slum","","Food secure","Some secondary",1.2575573
"610","Bonthe","Bum","","Marginally food secure","Some Primary",0.7500878
"611","Karene","Gbanti-2","","Severely food insecure","No School",1.4493465
"612","Moyamba","Fakunya","","Marginally food secure","No School",0.9662584
"613","Tonkolili","Simiria","","Moderately food insecure","No School",0.7139594
"614","Bo","Bagbo","","Marginally food secure","No School",0.8386451
"615","Kono","Kamara","","Moderately food insecure","Completed Primary",0.5097306
"616","Port Loko","Marampa","","Marginally food secure","No School",1.6520808
"617","Karene","Sella Limba","","Marginally food secure","Some Primary",1.4316664
"618","Tonkolili","Mayeppoh","","Moderately food insecure","No School",0.5692711
"619","Kailahun","Dea","","Moderately food insecure","College/University",0.3985007
"620","Kono","Mafindor","","Moderately food insecure","Some secondary",0.3164851
"621","Pujehun","Yakemu Kpukumu","","Marginally food secure","No School",0.2721455
"622","Kambia","Khonimaka","","Severely food insecure","No School",0.3392629
"623","Tonkolili","Gbonkolenkeni/Masankong","","Severely food insecure","No School",0.3955559
"624","Western Area Urban","East III","","Moderately food insecure","Completed Primary",13.175466
"625","Bo","Bo Town","","Marginally food secure","Some secondary",4.9102714
"626","Falaba","Dembelia","","Moderately food insecure","College/University",0.2786251
"627","Kenema","Gaura","","Severely food insecure","No School",0.6096904
"628","Kenema","Nongowa","","Food secure","No School",1.4913091
"629","Kambia","Tonko Limba","","Marginally food secure","Completed Primary",1.3581587
"630","Kailahun","Njaluahun","","Moderately food insecure","Some secondary",1.3062578
"631","Tonkolili","Yoni Mamaila","","Moderately food insecure","Completed Secondary",2.2445647
"632","Tonkolili","Malal","No, working for fewer hours/days","Marginally food secure","No School",0.3583304
"633","Kenema","Kandu Leppiama","","Severely food insecure","Some secondary",0.6050925
"634","Kenema","Malegohun","","Moderately food insecure","Some secondary",0.5618608
"635","Falaba","Dembelia","","Marginally food secure","No School",0.2786251
"636","Port Loko","Bureh","","Marginally food secure","No School",0.4801609
"637","Karene","Sanda Tendaran","","Moderately food insecure","No School",0.9145132
"638","Karene","Sella Limba","","Moderately food insecure","Completed Secondary",1.4316664
"639","Kambia","Gbinle","","Marginally food secure","No School",0.4012426
"640","Bombali","Makeni City","","Marginally food secure","No School",4.2129654
"641","Western Area Slum","Slum","","Food secure","Some secondary",1.2575573
"642","Karene","Romende","","Marginally food secure","No School",0.7074619
"643","Koinadugu","Kamukeh","","Food secure","No School",0.2057309
"644","Western Area Slum","Slum","","Marginally food secure","Some secondary",1.2575573
"645","Bombali","Paki Masabong","","Moderately food insecure","No School",0.7699547
"646","Pujehun","Barri","No, working for fewer hours/days","Marginally food secure","No School",0.9472675
"647","Kono","Gbane","No chronic illness","Moderately food insecure","No School",0.671285
"648","Kono","Koidu City","","Food secure","Some secondary",4.0313155
"649","Tonkolili","Kholifa Mabang","","Marginally food secure","Some Primary",0.517196
"650","Port Loko","Marampa","Yes, the same number of hours /days","Food secure","Some Primary",1.6520808
"651","Pujehun","Panga","","Moderately food insecure","No School",1.3987109
"652","Kono","Nimikoro","","Marginally food secure","No School",1.6391351
"653","Port Loko","Kasseh","","Marginally food secure","No School",0.4162949
"654","Kambia","Dixon","","Marginally food secure","Some secondary",0.2510313
"655","Koinadugu","Wara Wara Bafodia","","Severely food insecure","No School",0.4132673
"656","Kenema","Nongowa","","Marginally food secure","Completed Primary",1.4913091
"657","Bombali","Makari","","Marginally food secure","Some secondary",1.4298134
"658","Bombali","Ngowahun","","Severely food insecure","No School",0.7104767
"659","Bo","Wonde","","Moderately food insecure","Some Primary",0.3490822
"660","Moyamba","Timdale","","Moderately food insecure","Completed Primary",0.3483107
"661","Koinadugu","Sengbe","","Marginally food secure","Completed Secondary",0.5581314
"662","Moyamba","Kongbora","","Moderately food insecure","No School",0.3545449
"663","Kailahun","Mandu","She/He is completely unable to work","Severely food insecure","Some secondary",0.8618948
