"","district_name","chiefdom_name","chronic_work","Food_sec_classification","highest_edu_level","hhweight"
"664","Bo","Bagbwe(Bagbe)","No chronic illness","Marginally food secure","No School",0.5761842
"665","Karene","Safroko","","Marginally food secure","No School",0.2952777
"666","Moyamba","Kori","","Severely food insecure","Some secondary",0.8794012
"667","Tonkolili","Yele","","Moderately food insecure","College/University",0.6876807
"668","Koinadugu","Tamiso","","Food secure","No School",0.1697018
"669","Koinadugu","Kamukeh","","Marginally food secure","No School",0.2057309
"670","Moyamba","Ribbi","","Severely food insecure","Some Primary",1.0236714
"671","Kambia","Masungbala","","Marginally food secure","Some Primary",0.4703749
"672","Kono","Gbane Kandor","No, working for fewer hours/days","Marginally food secure","No School",0.3112468
"673","Falaba","Dembelia","","Moderately food insecure","No School",0.2786251
"674","Kambia","Muna Thalla","","Moderately food insecure","No School",0.3762014
"675","Port Loko","Bureh","","Moderately food insecure","Some secondary",0.4801609
"676","Bombali","Bombali Sebora","","Marginally food secure","No School",1.0406648
"677","Karene","Romende","","Moderately food insecure","No School",0.7074619
"678","Port Loko","Lokomasama","","Moderately food insecure","Some secondary",1.4808823
"679","Pujehun","Soro Gbema","","Moderately food insecure","No School",1.1294005
"680","Bombali","Paki Masabong","","Marginally food secure","No School",0.7699547
"681","Kailahun","Kpeje West","","Marginally food secure","Some secondary",0.4683697
"682","Kailahun","Penguia","","Food secure","Some secondary",0.5967944
"683","Western Area Urban","East I","Never worked","Marginally food secure","College/University",1.8580343
"684","Kailahun","Kpeje West","","Moderately food insecure","No School",0.4683697
"685","Western Area Urban","East III","","Marginally food secure","College/University",13.175466
"686","Western Area Urban","West II","","Food secure","Vocational/Technical Institute",4.4390705
"687","Karene","Sanda Magbolontor","","Moderately food insecure","No School",0.5278306
"688","Kono","Gbane Kandor","No, working for fewer hours/days","Moderately food insecure","No School",0.3112468
"689","Kailahun","Kpeje West","She/He is completely unable to work","Moderately food insecure","No School",0.4683697
"690","Pujehun","Kabonde","","Marginally food secure","No School",0.1262468
"691","Koinadugu","Kamukeh","","Food secure","No School",0.2057309
"692","Western Area Urban","Central I","","Marginally food secure","Completed Secondary",1.8276852
"693","Kono","Lei","","Marginally food secure","Some Primary",0.5909324
"694","Falaba","Wollay Barawa","","Severely food insecure","No School",0.4146298
"695","Port Loko","Marampa","","Marginally food secure","No School",1.6520808
"696","Kambia","Masungbala","","Marginally food secure","No School",0.4703749
"697","Bo","Boama","","Marginally food secure","Some secondary",1.4582433
"698","Kenema","Malegohun","","Marginally food secure","Some Primary",0.5618608
"699","Karene","Tambakha Simibungie","","Moderately food insecure","Completed Secondary",0.2921028
"700","Pujehun","Malen","","Marginally food secure","No School",1.0837293
"701","Western Area Urban","East III","","Food secure","No School",13.175466
"702","Tonkolili","Sambaya","","Marginally food secure","No School",0.7211742
"703","Kenema","Lower Bambara","","Moderately food insecure","Completed Primary",2.3582384
"704","Karene","Sella Limba","","Moderately food insecure","Some Primary",1.4316664
"705","Bo","Bagbwe(Bagbe)","No chronic illness","Marginally food secure","College/University",0.5761842
"706","Moyamba","Upper Banta","","Marginally food secure","Some secondary",0.3548562
"707","Bo","Lugbu","","Marginally food secure","Some Primary",0.9347872
"708","Bonthe","Bonthe Urban","","Moderately food insecure","No School",0.1954212
"709","Kambia","Gbinle","","Marginally food secure","No School",0.4012426
"710","Kono","Kamara","","Moderately food insecure","Some Primary",0.5097306
"711","Kenema","Kandu Leppiama","Yes, the same number of hours /days","Severely food insecure","No School",0.6050925
"712","Moyamba","Kamajei","","Marginally food secure","Vocational/Technical Institute",0.2839045
"713","Koinadugu","Kamukeh","","Moderately food insecure","No School",0.2057309
"714","Kenema","Dodo","No chronic illness","Moderately food insecure","No School",0.5602864
"715","Kambia","Masungbala","","Marginally food secure","No School",0.4703749
"716","Tonkolili","Mayeppoh","","Moderately food insecure","No School",0.5692711
"717","Kailahun","Jahn","","Moderately food insecure","Some secondary",0.1944345
"718","Tonkolili","Kunike Folawusu","","Moderately food insecure","No School",0.6151168
"719","Bo","Bagbo","","Moderately food insecure","Some secondary",0.8386451
"720","Koinadugu","Wara Wara Yagala","","Food secure","Some secondary",0.9880005
"721","Kambia","Magbema","","Moderately food insecure","No School",2.8153019
"722","Port Loko","Bakeh Loko","","Food secure","College/University",1.7416955
"723","Port Loko","Maforki","She/He is completely unable to work","Moderately food insecure","No School",1.534993
"724","Kenema","Tunkia","","Moderately food insecure","No School",0.9051959
"725","Falaba","Dembelia","","Marginally food secure","No School",0.2786251
"726","Tonkolili","Sambaya","","Food secure","No School",0.7211742
"727","Bombali","Mara","","Marginally food secure","No School",0.4465518
"728","Bombali","Kamaranka","","Moderately food insecure","Some Primary",0.3070851
"729","Moyamba","Kori","","Moderately food insecure","Some secondary",0.8794012
"730","Moyamba","Bumpeh","","Moderately food insecure","No School",1.2077506
"731","Kono","Kamara","","Marginally food secure","Some secondary",0.5097306
"732","Pujehun","Yakemu Kpukumu","","Moderately food insecure","No School",0.2721455
"733","Bonthe","Yawbeko","","Severely food insecure","College/University",0.1756389
"734","Karene","Sanda Magbolontor","","Moderately food insecure","Completed Primary",0.5278306
"735","Port Loko","Makama","","Marginally food secure","No School",0.2828188
"736","Kailahun","Mandu","","Severely food insecure","No School",0.8618948
"737","Pujehun","Malen","","Marginally food secure","No School",1.0837293
"738","Kenema","Small Bo","","Moderately food insecure","Some secondary",0.8906647
"739","Moyamba","Ribbi","","Severely food insecure","No School",1.0236714
"740","Kono","Mafindor","","Marginally food secure","No School",0.3164851
"741","Bo","Boama","","Marginally food secure","No School",1.4582433
"742","Kailahun","Kpeje Bongre","","Moderately food insecure","No School",0.6549239
"743","Bo","Wonde","","Moderately food insecure","No School",0.3490822
"744","Moyamba","Kaiyamba","","Marginally food secure","Some Primary",1.0392634
"745","Kenema","Dodo","No chronic illness","Moderately food insecure","No School",0.5602864
"746","Moyamba","Lower Banta","","Moderately food insecure","No School",1.318918
"747","Kono","Mafindor","","Moderately food insecure","No School",0.3164851
"748","Kenema","Simbaru","","Moderately food insecure","Some secondary",0.6005143
"749","Pujehun","Perri","","Severely food insecure","No School",0.6914497
"750","Moyamba","Timdale","","Moderately food insecure","No School",0.3483107
"751","Kenema","Tunkia","","Moderately food insecure","No School",0.9051959
"752","Kailahun","Luawa","","Moderately food insecure","No School",2.6739158
"753","Pujehun","Panga krim","","Marginally food secure","No School",0.2235191
"754","Bo","Bagbo","","Marginally food secure","No School",0.8386451
"755","Kambia","Khonimaka","","Moderately food insecure","No School",0.3392629
"756","Kailahun","Kissi Kama","","Moderately food insecure","No School",0.5201012
"757","Moyamba","Kori","No chronic illness","Marginally food secure","No School",0.8794012
"758","Bombali","Makeni City","","Marginally food secure","No School",4.2129654
"759","Western Area Slum","Slum","","Moderately food insecure","Some secondary",1.2575573
"760","Port Loko","Lokomasama","","Marginally food secure","No School",1.4808823
"761","Kono","Fiama","","Moderately food insecure","No School",0.4323924
"762","Western Area Urban","East III","","Marginally food secure","Completed Secondary",13.175466
"763","Tonkolili","Kholifa Mabang","She/He is completely unable to work","Marginally food secure","No School",0.517196
"764","Bombali","Bombali Siari","","Food secure","Some secondary",0.2292491
"765","Moyamba","Upper Banta","","Moderately food insecure","Completed Secondary",0.3548562
"766","Moyamba","Kowa","","Moderately food insecure","No School",0.3642655
"767","Moyamba","Ribbi","","Marginally food secure","Some secondary",1.0236714
"768","Tonkolili","Kholifa Rowala","","Food secure","Vocational/Technical Institute",1.5076716
"769","Karene","Romende","","Moderately food insecure","No School",0.7074619
"770","Bo","Bagbo","","Marginally food secure","No School",0.8386451
"771","Kailahun","Kpeje West","","Marginally food secure","No School",0.4683697
"772","Western Area Urban","West I","","Food secure","College/University",1.6877405
"773","Tonkolili","Kunike Barina","","Marginally food secure","No School",0.6416997
"774","Bo","Boama","","Marginally food secure","Some Primary",1.4582433
"775","Bo","Tikonko","","Marginally food secure","Some secondary",1.6318566
"776","Kenema","Nongowa","","Marginally food secure","No School",1.4913091
"777","Kono","Fiama","","Moderately food insecure","College/University",0.4323924
"778","Kailahun","Kpeje Bongre","","Moderately food insecure","Some Primary",0.6549239
"779","Kenema","Malegohun","","Moderately food insecure","No School",0.5618608
"780","Moyamba","Upper Banta","","Marginally food secure","No School",0.3548562
"781","Kono","Kamara","","Moderately food insecure","College/University",0.5097306
"782","Bombali","Biriwa","","Marginally food secure","No School",1.1840597
"783","Bo","Niawa Lenga","","Marginally food secure","No School",0.4015236
"784","Bonthe","Dema","","Marginally food secure","No School",0.2128079
"785","Pujehun","Malen","","Moderately food insecure","Some secondary",1.0837293
"786","Bombali","Bombali Siari","","Food secure","No School",0.2292491
"787","Karene","Sella Limba","","Marginally food secure","Completed Primary",1.4316664
"788","Karene","Romende","","Marginally food secure","No School",0.7074619
"789","Kono","Sandor","","Marginally food secure","Some Primary",2.2790256
"790","Kailahun","Jahn","","Moderately food insecure","No School",0.1944345
"791","Kailahun","Luawa","","Moderately food insecure","No School",2.6739158
"792","Falaba","Dembelia","","Moderately food insecure","No School",0.2786251
"793","Falaba","Folosaba","","Severely food insecure","No School",0.2593644
"794","Kambia","Dixon","","Moderately food insecure","No School",0.2510313
"795","Western Area Rural","Mountain Rural","","Marginally food secure","College/University",1.2564135
"796","Moyamba","Bagruwa","","Moderately food insecure","No School",0.8346273
"797","Bonthe","Bum","","Moderately food insecure","Some Primary",0.7500878
"798","Bonthe","Jong","","Moderately food insecure","Completed Secondary",1.0066476
"799","Kailahun","Penguia","","Moderately food insecure","Completed Primary",0.5967944
"800","Kenema","Dodo","","Severely food insecure",NA,0.5602864
"801","Kambia","Bramaia","","Moderately food insecure","No School",0.51476
"802","Bo","Bongor","","Severely food insecure","No School",0.4196253
"803","Moyamba","Ribbi","","Severely food insecure","No School",1.0236714
"804","Tonkolili","Poli","","Moderately food insecure","No School",0.2398532
"805","Bonthe","Bonthe Urban","","Moderately food insecure","No School",0.1954212
"806","Bombali","Makeni City","","Moderately food insecure","Completed Secondary",4.2129654
"807","Port Loko","Kaffu Bullom","","Marginally food secure","Some Primary",3.2143547
"808","Karene","Tambakha Yobangie","","Moderately food insecure","No School",0.5569147
"809","Karene","Mafonda Makerembay","","Moderately food insecure","No School",0.1251912
"810","Kenema","Small Bo","","Moderately food insecure","No School",0.8906647
"811","Bo","Valunia","","Marginally food secure","Completed Primary",1.0621627
"812","Western Area Slum","Slum","","Moderately food insecure","Completed Secondary",1.2575573
"813","Kailahun","Luawa","","Marginally food secure","No School",2.6739158
"814","Bonthe","Sittia","","Marginally food secure","No School",0.4738193
"815","Karene","Dibia","","Marginally food secure","No School",0.4598979
"816","Kambia","Bramaia","","Moderately food insecure","No School",0.51476
"817","Kono","Toli","","Marginally food secure","Completed Secondary",0.1024239
"818","Pujehun","Pejeh (Futa peje)","","Severely food insecure","No School",0.290343
"819","Kambia","Bramaia","","Moderately food insecure","No School",0.51476
"820","Kailahun","Penguia","","Moderately food insecure","Completed Secondary",0.5967944
"821","Moyamba","Kagboro","","Moderately food insecure","Some secondary",1.1993893
"822","Karene","Sella Limba","","Severely food insecure","Completed Primary",1.4316664
"823","Kenema","Lower Bambara","","Moderately food insecure","No School",2.3582384
"824","Tonkolili","Kunike Folawusu","She/He is completely unable to work","Moderately food insecure","No School",0.6151168
"825","Karene","Sella Limba","","Moderately food insecure","College/University",1.4316664
"826","Falaba","Kebelia","","Moderately food insecure","No School",0.2545047
"827","Moyamba","Timdale","","Moderately food insecure","Completed Secondary",0.3483107
"828","Kambia","Samu","","Marginally food secure","No School",1.544231
"829","Bombali","Bombali Siari","","Food secure","No School",0.2292491
"830","Bombali","Gbanti-1","","Moderately food insecure","Some secondary",1.4493465
"831","Bombali","Bombali Sebora","","Marginally food secure","No School",1.0406648
"832","Kono","Koidu City","","Moderately food insecure","No School",4.0313155
"833","Kailahun","Njaluahun","","Moderately food insecure","No School",1.3062578
"834","Kenema","Dodo","","Severely food insecure","No School",0.5602864
"835","Bo","Bumpe Ngao","","Moderately food insecure","Some secondary",1.6833454
"836","Falaba","Folosaba","","Moderately food insecure","No School",0.2593644
"837","Kailahun","Kissi Tongi","","Moderately food insecure","No School",1.1434507
"838","Kenema","Simbaru","","Moderately food insecure","No School",0.6005143
"839","Falaba","Dembelia-Sinkunia","","Moderately food insecure","No School",0.5086367
"840","Pujehun","Kpaka","","Severely food insecure","No School",0.446094
"841","Western Area Slum","Slum","","Moderately food insecure","No School",1.2575573
"842","Kono","Mafindor","","Moderately food insecure","No School",0.3164851
"843","Falaba","Mongo","","Severely food insecure","No School",0.3465667
"844","Tonkolili","Kafe","","Moderately food insecure","No School",0.1898305
"845","Karene","Libeisaygahun/Gbombahun","","Severely food insecure","No School",0.3396967
"846","Karene","Safroko","","Marginally food secure","College/University",0.2952777
"847","Bonthe","Sittia","","Moderately food insecure","No School",0.4738193
"848","Kenema","Gaura","","Marginally food secure","College/University",0.6096904
"849","Bonthe","Sittia","","Moderately food insecure","Some Primary",0.4738193
"850","Port Loko","Kasseh","","Moderately food insecure","No School",0.4162949
"851","Pujehun","Perri","","Moderately food insecure","Some Primary",0.6914497
"852","Bombali","Bombali Siari","","Marginally food secure","No School",0.2292491
"853","Falaba","Mongo","","Moderately food insecure","No School",0.3465667
"854","Karene","Mafonda Makerembay","","Moderately food insecure","No School",0.1251912
"855","Karene","Safroko","","Moderately food insecure","No School",0.2952777
"856","Western Area Urban","Central I","","Food secure","College/University",1.8276852
"857","Moyamba","Timdale","","Food secure","Vocational/Technical Institute",0.3483107
"858","Western Area Urban","West II","","Moderately food insecure","Some secondary",4.4390705
"859","Kambia","Magbema","","Marginally food secure","College/University",2.8153019
"860","Bonthe","Nongoba Bullom","","Moderately food insecure","Some secondary",0.571308
"861","Bombali","Mara","","Moderately food insecure","Vocational/Technical Institute",0.4465518
"862","Karene","Sanda Loko","","Severely food insecure","No School",1.2619816
"863","Kenema","Dama","","Severely food insecure","No School",0.9802876
"864","Kambia","Samu","","Marginally food secure","No School",1.544231
"865","Port Loko","Thainkatopa","","Moderately food insecure","Completed Primary",0.2597262
"866","Kailahun","Upper Bambara","","Marginally food secure","No School",0.9285215
"867","Port Loko","Masimera","No, working for fewer hours/days","Marginally food secure","No School",1.427643
"868","Tonkolili","Kholifa Mamuntha/Mayosso","","Marginally food secure","Completed Primary",0.4632227
"869","Kenema","Gaura","","Marginally food secure","No School",0.6096904
"870","Bombali","Makeni City","","Marginally food secure","No School",4.2129654
"871","Western Area Urban","West III","","Food secure","Completed Secondary",6.173548
"872","Bo","Gbo","","Food secure","No School",0.1992564
"873","Moyamba","Bagruwa","","Severely food insecure","Some secondary",0.8346273
"874","Bombali","Bombali Sebora","","Marginally food secure","No School",1.0406648
"875","Kambia","Muna Thalla","","Marginally food secure","College/University",0.3762014
"876","Bo","Bagbwe(Bagbe)","No chronic illness","Marginally food secure","No School",0.5761842
"877","Bonthe","Bonthe Urban","","Marginally food secure","Vocational/Technical Institute",0.1954212
"878","Kenema","Kenema City","","Marginally food secure","No School",6.0810676
"879","Koinadugu","Gbonkobon Kayaka","","Marginally food secure","No School",0.1931609
"880","Port Loko","Thainkatopa","","Marginally food secure","Some secondary",0.2597262
"881","Bonthe","Bendu-Cha","","Moderately food insecure","College/University",0.1881044
"882","Bonthe","Kwamebai Krim","","Moderately food insecure","College/University",0.2944341
"883","Kailahun","Kissi Kama","","Marginally food secure","No School",0.5201012
"884","Tonkolili","Malal","","Marginally food secure","No School",0.3583304
"885","Falaba","Kulor Saradu","","Moderately food insecure","Some Primary",0.2207506
"886","Pujehun","Panga","","Severely food insecure","Completed Primary",1.3987109
"887","Kono","Gbane","","Moderately food insecure","Vocational/Technical Institute",0.671285
"888","Karene","Dibia","","Marginally food secure","No School",0.4598979
"889","Karene","Libeisaygahun/Gbombahun","","Food secure","No School",0.3396967
"890","Kailahun","Luawa","","Moderately food insecure","Some secondary",2.6739158
"891","Bonthe","Sogbeni","","Marginally food secure","No School",0.2551938
"892","Kenema","Simbaru","","Marginally food secure","Some secondary",0.6005143
"893","Bo","Bongor","","Moderately food insecure","Some Primary",0.4196253
"894","Bonthe","Yawbeko","","Severely food insecure","Some secondary",0.1756389
"895","Western Area Urban","East II","","Marginally food secure","Some secondary",2.7733612
"896","Karene","Sella Limba","","Moderately food insecure","No School",1.4316664
"897","Pujehun","Panga krim","","Moderately food insecure","No School",0.2235191
"898","Kailahun","Kissi Teng","","Moderately food insecure","No School",1.0208497
"899","Kenema","Simbaru","","Food secure","Completed Secondary",0.6005143
"900","Koinadugu","Tamiso","No chronic illness","Moderately food insecure","No School",0.1697018
"901","Western Area Urban","Central II","","Moderately food insecure","No School",0.7089255
"902","Falaba","Sulima","","Moderately food insecure","No School",0.6566527
"903","Tonkolili","Dansogoia","","Marginally food secure","Completed Primary",0.6328066
"904","Bonthe","Dema","","Marginally food secure","No School",0.2128079
"905","Kenema","Kenema City","","Marginally food secure","No School",6.0810676
"906","Bo","Wonde","","Moderately food insecure","No School",0.3490822
"907","Kambia","Tonko Limba","","Severely food insecure","No School",1.3581587
"908","Kailahun","Luawa","","Marginally food secure","No School",2.6739158
"909","Kenema","Dama","","Marginally food secure","No School",0.9802876
"910","Falaba","Kebelia","","Moderately food insecure","No School",0.2545047
"911","Western Area Slum","Slum","","Marginally food secure","College/University",1.2575573
"912","Kenema","Kandu Leppiama","","Moderately food insecure","No School",0.6050925
"913","Bombali","Magbaimba Ndorwahun","","Marginally food secure","No School",0.3479133
"914","Karene","Sanda Loko","","Moderately food insecure","Some Primary",1.2619816
"915","Bo","Jaiama","","Moderately food insecure","No School",0.4800562
"916","Moyamba","Bumpeh","","Moderately food insecure","No School",1.2077506
"917","Kono","Toli","","Moderately food insecure","No School",0.1024239
"918","Port Loko","Kaffu Bullom","","Food secure","Completed Primary",3.2143547
"919","Moyamba","Fakunya","","Moderately food insecure","Some Primary",0.9662584
"920","Kailahun","Mandu","","Moderately food insecure","No School",0.8618948
"921","Falaba","Mongo","","Severely food insecure","College/University",0.3465667
"922","Kenema","Gaura","","Moderately food insecure","No School",0.6096904
"923","Moyamba","Kamajei","","Severely food insecure","No School",0.2839045
"924","Pujehun","Soro Gbema","","Moderately food insecure","No School",1.1294005
"925","Karene","Sella Limba","","Marginally food secure","Some Primary",1.4316664
"926","Kono","Toli","","Moderately food insecure","No School",0.1024239
"927","Bo","Bo Town","","Marginally food secure","Some secondary",4.9102714
"928","Western Area Urban","Central I","","Food secure","College/University",1.8276852
"929","Kailahun","Kissi Teng","","Moderately food insecure","No School",1.0208497
"930","Pujehun","Galliness","","Severely food insecure","Vocational/Technical Institute",0.4706213
"931","Tonkolili","Yele","","Moderately food insecure","No School",0.6876807
"932","Port Loko","Kasseh","","Marginally food secure","No School",0.4162949
"933","Bo","Valunia","","Severely food insecure","Completed Secondary",1.0621627
"934","Tonkolili","Kunike Barina","No, working for fewer hours/days","Marginally food secure","No School",0.6416997
"935","Bo","Bo Town","","Marginally food secure","No School",4.9102714
"936","Kono","Fiama","No chronic illness","Marginally food secure","Completed Secondary",0.4323924
"937","Kenema","Wandor","","Moderately food insecure","Some secondary",0.557397
"938","Tonkolili","Yoni Mabanta","","Severely food insecure","No School",0.9002567
"939","Pujehun","Galliness","","Severely food insecure","No School",0.4706213
"940","Bombali","Bombali Sebora","","Moderately food insecure","College/University",1.0406648
"941","Port Loko","Maconteh","","Marginally food secure","No School",0.2580322
"942","Kenema","Kenema City","","Marginally food secure","Completed Secondary",6.0810676
"943","Kono","Nimiyama","","Moderately food insecure","No School",0.8542261
"944","Kono","Kamara","","Moderately food insecure","No School",0.5097306
"945","Port Loko","Kamasondo","","Moderately food insecure","No School",0.9860628
"946","Bo","Boama","","Marginally food secure","No School",1.4582433
"947","Karene","Libeisaygahun/Gbombahun","","Severely food insecure","No School",0.3396967
"948","Koinadugu","Kalian","","Moderately food insecure","No School",0.4959283
"949","Kono","Gbense","No, working for fewer hours/days","Marginally food secure","Completed Secondary",0.4660951
"950","Kambia","Gbinle","","Marginally food secure","No School",0.4012426
"951","Bo","Bo Town","","Food secure","No School",4.9102714
"952","Western Area Urban","Central I","","Moderately food insecure","No School",1.8276852
"953","Tonkolili","Tane","","Moderately food insecure","No School",1.0216635
"954","Kenema","Dodo","","Moderately food insecure","No School",0.5602864
"955","Bo","Wonde","","Moderately food insecure","No School",0.3490822
"956","Kono","Sandor","","Marginally food secure","Some secondary",2.2790256
"957","Kambia","Magbema","","Marginally food secure","No School",2.8153019
"958","Falaba","Dembelia-Sinkunia","","Moderately food insecure","No School",0.5086367
"959","Kailahun","Upper Bambara","","Marginally food secure","Some secondary",0.9285215
"960","Bo","Bagbo","","Marginally food secure","Some secondary",0.8386451
"961","Bo","Bagbo","","Moderately food insecure","College/University",0.8386451
"962","Falaba","Mongo","","Moderately food insecure","Some Primary",0.3465667
"963","Kenema","Koya-1","","Severely food insecure","No School",0.4694293
"964","Tonkolili","Kholifa Rowala","","Moderately food insecure","Completed Secondary",1.5076716
"965","Kailahun","Njaluahun","","Marginally food secure","No School",1.3062578
"966","Kenema","Nongowa","","Food secure","No School",1.4913091
"967","Kailahun","Kissi Tongi","","Moderately food insecure","No School",1.1434507
"968","Bombali","Safroko Limba","","Marginally food secure","No School",0.8913851
"969","Moyamba","Ribbi","","Moderately food insecure","Some secondary",1.0236714
"970","Pujehun","Kpaka","","Severely food insecure","Some secondary",0.446094
"971","Pujehun","Galliness","","Severely food insecure","No School",0.4706213
"972","Pujehun","Makpele","","Moderately food insecure","No School",0.8219445
"973","Falaba","Kebelia","","Moderately food insecure","College/University",0.2545047
"974","Karene","Safroko","","Moderately food insecure","No School",0.2952777
"975","Bo","Badjia","","Marginally food secure","College/University",0.2586598
"976","Kailahun","Kpeje West","","Marginally food secure","No School",0.4683697
"977","Karene","Romende","","Marginally food secure","No School",0.7074619
"978","Bombali","Bombali Siari","","Severely food insecure","No School",0.2292491
"979","Bo","Lugbu","","Marginally food secure","No School",0.9347872
"980","Moyamba","Kagboro","","Severely food insecure","College/University",1.1993893
"981","Falaba","Kebelia","","Moderately food insecure","No School",0.2545047
"982","Kono","Koidu City","","Moderately food insecure","Completed Primary",4.0313155
"983","Bo","Bo Town","","Food secure","College/University",4.9102714
"984","Kailahun","Kpeje West","","Moderately food insecure","No School",0.4683697
"985","Kailahun","Dea","","Marginally food secure","Some secondary",0.3985007
"986","Falaba","Delemandugu","","Moderately food insecure","No School",0.4536044
"987","Kenema","Nongowa","","Food secure","No School",1.4913091
"988","Kenema","Kandu Leppiama","","Marginally food secure","No School",0.6050925
"989","Bonthe","Yawbeko","","Marginally food secure","College/University",0.1756389
"990","Bo","Gbo","Yes, the same number of hours /days","Moderately food insecure","No School",0.1992564
"991","Tonkolili","Kalanthuba","","Marginally food secure","No School",0.2903288
"992","Kenema","Dodo","","Moderately food insecure","Some Primary",0.5602864
"993","Bo","Niawa Lenga","","Severely food insecure","No School",0.4015236
"994","Falaba","Folosaba","","Marginally food secure","No School",0.2593644
"995","Falaba","Mongo","","Moderately food insecure","No School",0.3465667
"996","Karene","Libeisaygahun/Gbombahun","","Moderately food insecure","No School",0.3396967
"997","Falaba","Morifindugu","","Marginally food secure","Some secondary",0.2313086
"998","Karene","Gbanti-2","","Severely food insecure","No School",1.4493465
"999","Bombali","Makeni City","","Marginally food secure","Some secondary",4.2129654
"1000","Moyamba","Kowa","","Moderately food insecure","College/University",0.3642655
